sRNA	Index	Target	Energy	P-value	Probability	sRNA start	sRNA stop	Target start	Target stop	Annotation	Interaction
sRNA2	33	Gene1438	-9.91	0.0654090828528538	0.1154691286106525	24	48	-129	-88	cytochrome ubiquinol oxidase subunit I	((&))
sRNA56	34	Gene1370	-6.38	0.28665570295122	0.2350871491829536	13	46	-31	-5	HTH-type transcriptional regulator SarX	((&))
sRNA331	35	Gene349	-10.02	0.7044343637036247	0.0569747797728059	13	42	-152	-119	glycine-glycine endopeptidase LytM	((&))
sRNA149	36	Gene2309	-11.31	0.0716962397455168	0.1181821991999031	6	14	-121	-69	isoleucine--tRNA ligase	((&))
sRNA9	37	Gene953	-9.39	0.1878271455921107	0.0963849761110106	2	33	-149	-91	glycosyl-4,4'-diaponeurosporenoate acyltransferase	((&))
sRNA56	38	Gene2507	-11.11	0.0499560520029433	0.3796202023626948	15	45	-128	-100	uroporphyrinogen decarboxylase	((&))
sRNA204	39	Gene2639	-18.2	0.0216471542883065	0.1725979725094243	31	50	2	60	DUF960 family protein	((((&))))
sRNA177	40	Gene1548	-15.18	0.8949885926562431	0.0523031870538758	2	40	-196	-140	oligopeptide ABC transporter permease	(((&)))
sRNA157	41	Gene1142	-8.96	0.1275810009277461	0.1629556018074588	23	62	-39	-7	PTS mannitol transporter subunit IICB	((&))
sRNA212	42	Gene292	-12.06	0.7673710565500449	0.0594988467126789	34	68	-126	-104	glycopeptide resistance protein TcaA	(((&)))
sRNA128	43	Gene2779	-9.83	0.23239057357134	0.0849285330292144	15	26	-179	-148	HK97-gp10 family putative phage morphogenesis protein	((&))
sRNA8	44	Gene2401	-9.81	0.3055836011427635	0.0730174368737725	38	68	14	55	elongation factor Tu	((&))
sRNA221	45	Gene794	-10.17	0.196762481338151	0.1199089073509486	12	30	34	90	protease adaptor protein YjbH	((&))
sRNA242	46	Gene597	-10.02	0.2914244886640453	0.0710447329592513	29	51	-187	-157	LCP family protein	((&))
sRNA221	47	Gene398	-12.75	0.5171785259501234	0.087881440302159	23	44	-80	-57	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD	(((&)))
sRNA6	48	Gene1226	-8.19	0.2583793954113296	0.0820807664139063	7	39	70	102	D-lactate dehydrogenase	((&))
sRNA199	49	Gene1157	-6.13	0.7638451403372762	0.0571020215299003	15	25	7	47	DoxX family protein	((&))
sRNA209	50	Gene472	-7.4	0.8831434338174591	0.0519923709454267	36	51	63	117	aromatic acid exporter family protein	((&))
sRNA16	51	Gene1406	-8.12	0.111150256121683	0.1014509778854983	33	52	-131	-96	F0F1 ATP synthase subunit B	((&))
sRNA133	52	Gene2166	-11.0	0.3448324797173002	0.0734811689978085	9	25	-173	-145	biotin--[acetyl-CoA-carboxylase] ligase	((&))
sRNA72	53	Gene786	-18.44	0.095459455618833	0.1762132249688793	1	24	-118	-62	multidrug efflux MFS transporter SdrM	((((&))))
sRNA101	54	Gene1376	-9.66	0.3117677405103741	0.0850777240595415	12	23	49	105	metal-sulfur cluster assembly factor	((&))
sRNA9	55	Gene2365	-8.18	0.1085684009806142	0.097922853193066	3	16	25	63	ComF family protein	((&))
sRNA13	56	Gene702	-8.69	0.5306584110305567	0.0612278973280834	7	31	-54	-1	Fe-S cluster assembly protein SufD	((&))
sRNA13	57	Gene1106	-17.55	0.2636847592804243	0.08355258197567	13	25	-145	-104	HlyC/CorC family transporter	((((&))))
sRNA221	58	Gene432	-12.7	0.222922055330389	0.1161113414651229	1	35	-176	-135	glycerol-3-phosphate dehydrogenase/oxidase	(((&)))
sRNA133	59	Gene1357	-8.53	0.2466857890344325	0.0833254308562293	31	62	-71	-35	GTPase HflX	((&))
sRNA177	60	Gene910	-23.79	0.039067205730784	0.1311364688250403	18	44	-61	-40	universal stress protein	(((((&)))))
sRNA226	61	Gene701	-6.53	0.8020713113055914	0.0608111980597655	8	40	-47	-14	sodium:solute symporter	((&))
sRNA242	62	Gene110	-9.74	0.4142717700968696	0.0637884257936094	6	42	-110	-57	branched-chain amino acid aminotransferase	((&))
sRNA140	63	Gene554	-6.15	0.798726480957507	0.0555009672238858	8	42	-67	-35	chromosome segregation protein SMC	((&))
sRNA282	64	Gene1669	-10.52	0.3008303734408188	0.1212868499119325	25	51	62	93	NAD-dependent epimerase/dehydratase family protein	((&))
sRNA287	65	Gene2441	-8.35	0.1269212067534739	0.0960415331693175	24	51	-165	-136	twin-arginine translocase subunit TatC	((&))
sRNA112	66	Gene385	-9.29	0.207998174345781	0.0997748079997435	28	41	-69	-10	assimilatory sulfite reductase (NADPH) flavoprotein subunit	((&))
sRNA150	67	Gene817	-13.34	0.365491515614174	0.0865990018090027	18	42	-85	-41	RIP metalloprotease RseP	(((&)))
sRNA232	68	Gene816	-15.72	0.1357219754539591	0.1155550368511183	12	31	-107	-73	solute carrier family 23 protein	(((&)))
sRNA244	69	Gene1563	-8.06	0.5019561540500918	0.0955297111932365	2	23	-195	-171	regulatory protein MsaA	((&))
sRNA220	70	Gene1180	-9.8	0.0014399551030856	0.1753435420197716	35	43	-14	39	heavy metal translocating P-type ATPase	((&))
sRNA37	71	Gene478	-7.2	0.377865777401158	0.083460622749869	17	39	-97	-46	peptide MFS transporter	((&))
sRNA16	72	Gene1317	-8.1	0.0482868298215192	0.1177175892122377	9	36	-9	40	F0F1 ATP synthase subunit beta	((&))
sRNA56	73	Gene2027	-6.92	0.9078133954137784	0.0709346933815158	19	36	74	122	3-isopropylmalate dehydratase small subunit	((&))
sRNA100	74	Gene2796	-11.27	0.0821717807180871	0.3332044806166718	11	21	78	106	HPr(Ser) kinase/phosphatase	((&))
sRNA16	75	Gene2145	-7.94	0.1522862733433605	0.0950874268276589	13	29	-45	-3	N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase TarA	((&))
sRNA31	76	Gene1027	-7.16	0.3694209879993643	0.1131879316054482	1	16	40	91	glucose-specific PTS transporter subunit IIBC	((&))
sRNA9	77	Gene263	-8.12	0.4441858068933771	0.3038122155535696	9	36	59	110	competence protein CoiA family protein	((&))
sRNA32	78	Gene354	-8.73	0.5522983108300845	0.0869369245719767	11	34	-107	-79	PTS mannitol transporter subunit IICB	((&))
sRNA31	79	Gene2086	-5.63	0.7615400247708446	0.0746190970022691	2	39	-104	-81	bifunctional 3,4-dihydroxy-2-butanone-4-phosphate synthase/GTP cyclohydrolase II	((&))
sRNA128	80	Gene136	-6.37	0.627229719706208	0.06166352614331	3	32	12	36	LPXTG-anchored aggregation protein SasC	((&))
sRNA239	81	Gene1331	-11.94	0.3532863443985018	0.0834406849503012	30	67	-16	22	GHKL domain-containing protein	((&))
sRNA9	82	Gene867	-7.5	0.5099046081743979	0.27760334933947	19	50	-67	-41	DUF488 domain-containing protein	((&))
sRNA187	83	Gene898	-10.4	0.2812730503210168	0.0832479878603723	21	49	25	84	phosphoglycerate kinase	((&))
sRNA9	84	Gene409	-8.91	0.1627734221513083	0.4486742252398475	39	56	-138	-105	adaptor protein MecA	((&))
sRNA245	85	Gene1710	-5.86	0.5798840440970082	0.1260910677365637	4	30	51	81	imidazolonepropionase	((&))
sRNA17	86	Gene2820	-7.38	0.3271103705298641	0.0717934678455346	26	49	-60	-30	glucose-specific PTS transporter subunit IIBC	((&))
sRNA6	87	Gene1854	-11.71	0.7509420384786005	0.0565259937273968	3	24	-174	-120	D-amino-acid transaminase	((&))
sRNA239	88	Gene2660	-10.44	0.6012610588928011	0.0692772872216792	5	23	-167	-115	stressosome-associated protein Prli42	((&))
sRNA207	89	Gene1540	-9.71	0.8417442907647337	0.0531119845528784	23	51	-92	-67	sucrose-specific PTS transporter subunit IIBC	((&))
sRNA53	90	Gene1286	-8.36	0.2372063385495701	0.0891738575581309	24	55	11	54	glycosyl hydrolase family 28-related protein	((&))
sRNA214	91	Gene1768	-8.02	0.0524532576518465	0.1317178941952398	28	49	6	44	NAD-dependent formate dehydrogenase	((&))
sRNA31	92	Gene2047	-8.2	0.6474925302176471	0.0851542542486492	29	55	-16	29	undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase	((&))
sRNA213	93	Gene1128	-11.76	0.706816401897302	0.0849973607344456	31	59	-33	19	Asp23/Gls24 family envelope stress response protein	((&))
sRNA229	94	Gene2846	-6.4	0.9036327085853448	0.0520669531332761	37	56	-84	-63	aldehyde dehydrogenase family protein	((&))
sRNA221	95	Gene1489	-14.16	0.4056275390886737	0.0967405103983657	33	41	-196	-158	S1 domain-containing RNA-binding protein	(((&)))
sRNA104	96	Gene898	-20.03	0.1068990657488614	0.315106250747994	27	51	17	74	phosphoglycerate kinase	(((((&)))))
sRNA255	97	Gene213	-9.14	0.3909959283295706	0.0827704549724091	33	45	-16	26	50S ribosomal protein L23	((&))
sRNA13	98	Gene787	-8.75	0.3716068068496054	0.0728642275189318	26	41	70	111	DUF72 domain-containing protein	((&))
sRNA50	99	Gene2340	-7.45	0.4989527768745401	0.0763873219586522	8	33	-199	-166	shikimate kinase	((&))
sRNA221	100	Gene530	-10.72	0.7806594464426342	0.0690732356610678	14	39	-179	-136	DUF2179 domain-containing protein	((&))
sRNA255	101	Gene1013	-7.72	0.2858115150549768	0.0896295764360725	30	56	22	68	ABC-F family ATP-binding cassette domain-containing protein	((&))
sRNA255	102	Gene1152	-10.05	0.2273077940119988	0.0942491695161749	4	37	77	109	Holliday junction resolvase RecU	((&))
sRNA87	103	Gene2427	-7.95	0.216612670931106	0.0928083821561714	10	33	-60	-29	formyl peptide receptor-like 1 inhibitory protein	((&))
sRNA50	104	Gene248	-8.86	0.2313023897025814	0.0963198525594343	12	45	51	102	fatty acid kinase binding subunit FakB1	((&))
sRNA183	105	Gene375	-7.66	0.5025752356767796	0.0651375852301463	37	52	-20	2	MSCRAMM family adhesin SdrC	((&))
sRNA225	106	Gene280	-20.22	0.1792567666157325	0.1080202847852163	3	28	-8	49	malate dehydrogenase (quinone)	(((((&)))))
sRNA16	107	Gene1271	-6.21	0.5495286001300869	0.0652222634663647	19	46	-29	23	helicase-exonuclease AddAB subunit AddB	((&))
sRNA221	108	Gene1595	-11.11	0.9058978598409544	0.0583081314899541	8	34	-177	-126	7-cyano-7-deazaguanine synthase QueC	((&))
sRNA240	109	Gene1094	-8.8	0.2194507299853599	0.091956752203283	15	38	-55	1	alpha/beta hydrolase	((&))
sRNA23	110	Gene2641	-6.71	0.6455065911665958	0.058009133925817	22	35	68	111	beta-lactam sensor/signal transducer MecR1	((&))
sRNA69	111	Gene251	-6.2	0.7511343057406841	0.0537488528416104	7	41	78	133	peptide resistance ABC transporter ATP-binding subunit VraD	((&))
sRNA79	112	Gene2596	-10.0	0.695940992815429	0.0661238137901016	10	25	-84	-45	YbhB/YbcL family Raf kinase inhibitor-like protein	((&))
sRNA56	113	Gene1497	-6.26	0.2537212609610313	0.2465487473364814	22	60	-32	4	MepB family protein	((&))
sRNA221	114	Gene1005	-10.32	0.8394310222112558	0.0644618831333655	37	62	-96	-70	iron uptake system protein EfeO	((&))
sRNA213	115	Gene1860	-8.89	0.1808006882149491	0.1551613432410681	19	45	-69	-43	OsmC family protein	((&))
sRNA29	116	Gene1874	-11.5	0.2926455533772085	0.3317348316259212	21	50	-69	-25	bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD	((&))
sRNA117	117	Gene829	-6.59	5.591572947105661e-06	0.2843287183688968	6	18	-24	23	MutS family DNA mismatch repair protein	((&))
sRNA108	118	Gene559	-17.44	0.2177222011743911	0.1040401626442636	18	51	-140	-90	glutamine-hydrolyzing GMP synthase	((((&))))
sRNA29	119	Gene1735	-5.99	0.9257987039966908	0.0549633411279373	16	38	6	52	peptide chain release factor 2	((&))
sRNA128	120	Gene73	-8.83	0.3767892271463484	0.074521860794062	9	35	-40	16	rod shape-determining protein MreC	((&))
sRNA147	121	Gene1350	-9.68	0.1616119624601421	0.0890138917180411	32	71	32	65	glycine cleavage system protein H	((&))
sRNA14	122	Gene1113	-8.34	0.1002752107992103	0.119279269586158	37	51	-10	13	malic enzyme-like NAD(P)-binding protein	((&))
sRNA28	123	Gene1507	-7.28	0.9408108562182668	0.0520223045125152	1	38	-166	-131	type VII secretion protein EssC	((&))
sRNA214	124	Gene1772	-7.66	0.395358985994079	0.0851087250290777	1	37	-111	-73	diglucosyl diacylglycerol synthase	((&))
sRNA159	125	Gene1260	-9.72	0.2873561325012193	0.0904592117556852	5	33	32	78	ribosome biogenesis GTPase YlqF	((&))
sRNA221	126	Gene285	-23.59	0.0001404190712384	0.3375522296606039	23	50	-78	-28	YisL family protein	(((((&)))))
sRNA36	127	Gene1960	-6.43	0.1238690376037392	0.1570000540430134	2	24	29	75	type 8 capsular polysaccharide synthesis protein Cap8G	((&))
sRNA123	128	Gene2423	-15.85	0.4388732396592025	0.0815741974562733	31	54	-71	-35	30S ribosomal protein S11	(((&)))
sRNA1	129	Gene1132	-13.35	0.4111711717746601	0.0677595001307578	1	36	-145	-111	aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme	(((&)))
sRNA249	130	Gene524	-9.93	0.3140330193252534	0.224094000665409	35	65	46	91	arginine deiminase	((&))
sRNA214	131	Gene1320	-8.99	0.2514235814176051	0.0963849761110106	12	28	-69	-26	formate C-acetyltransferase	((&))
sRNA165	132	Gene2638	-7.83	0.8913637283619855	0.0543742440218099	24	53	-83	-43	cbb3-type cytochrome c oxidase subunit I	((&))
sRNA29	133	Gene2066	-6.48	0.9248820341389848	0.0558203299688592	3	14	-35	-8	N-[(2S)-2-amino-2-carboxyethyl]-L-glutamate dehydrogenase SbnB	((&))
sRNA245	134	Gene1368	-6.96	0.6370971865370051	0.1160014796545729	30	59	-115	-87	D-ornithine--citrate ligase SfaD	((&))
sRNA170	135	Gene1262	-9.78	0.090487734036166	0.1133538052457509	38	55	-15	40	peptide MFS transporter	((&))
sRNA110	136	Gene1104	-8.54	0.3073662214380391	0.0774044127923737	14	53	-125	-84	L-lactate dehydrogenase	((&))
sRNA117	137	Gene672	-10.43	0.6025358226688764	0.0685599798455758	2	23	-120	-82	mechanosensitive ion channel family protein	((&))
sRNA242	138	Gene1860	-7.83	0.5233505999172012	0.0585298893582063	13	35	-5	41	OsmC family protein	((&))
sRNA109	139	Gene339	-9.58	0.4740651655148108	0.0781075527464597	22	54	-3	50	2-hydroxyacid dehydrogenase family protein	((&))
sRNA224	140	Gene457	-6.21	0.5108166562800058	0.0776320442738698	22	32	-157	-134	helix-turn-helix domain-containing protein	((&))
sRNA59	141	Gene1621	-8.92	0.5845414388202596	0.0576877507458675	13	51	46	77	replicative DNA helicase	((&))
sRNA133	142	Gene1803	-8.46	0.2059440946142186	0.0886250090089619	6	17	-149	-104	phosphate ABC transporter permease PstA	((&))
sRNA3	143	Gene1571	-8.97	0.1711895617289383	0.0941081206187283	30	41	-133	-84	TfoX/Sxy family protein	((&))
sRNA152	144	Gene1078	-11.18	0.9365877760694103	0.0584109451351002	10	25	-171	-150	DUF4467 domain-containing protein	((&))
sRNA109	145	Gene1111	-10.05	0.6346673615716146	0.069487920699786	23	46	-165	-120	tRNA1(Val) (adenine(37)-N6)-methyltransferase	((&))
sRNA2	146	Gene1749	-6.41	0.6422981333295174	0.06533057913695	5	20	5	56	metal-dependent transcriptional regulator	((&))
sRNA120	147	Gene918	-18.12	0.279436274864729	0.1359664599417042	9	17	-16	13	phosphocarrier protein HPr	((((&))))
sRNA214	148	Gene528	-8.67	0.3020794473492812	0.0919370928114612	26	50	-10	10	DEAD/DEAH box helicase	((&))
sRNA38	149	Gene1504	-8.26	0.0679437083542545	0.1177175892122377	30	67	28	78	bacillithiol transferase BstA	((&))
sRNA123	150	Gene293	-11.54	0.8056415526287055	0.0621928807570783	17	25	-19	17	glycerate kinase	((&))
sRNA56	151	Gene947	-9.09	0.0918223395081928	0.3325837073149925	36	49	21	60	zinc metallopeptidase	((&))
sRNA29	152	Gene1726	-5.74	0.1840416558241804	0.3841197710082588	35	66	-111	-60	adenine phosphoribosyltransferase	((&))
sRNA109	153	Gene1121	-13.12	0.4793949283122026	0.0778093389963227	18	26	-155	-117	MurR/RpiR family transcriptional regulator	(((&)))
sRNA243	154	Gene504	-6.31	0.5816854461048185	0.0766100216765068	22	51	-187	-162	cytochrome aa3 quinol oxidase subunit II	((&))
sRNA82	155	Gene1150	-18.68	0.0074356426346797	0.1452012597070432	22	56	-54	-17	alanine/glycine:cation symporter family protein	((((&))))
sRNA29	156	Gene2581	-5.83	0.9262434662735884	0.0545447268368583	33	63	-77	-45	50S ribosomal protein L27	((&))
sRNA9	157	Gene441	-8.29	0.9070410178435035	0.0689907618722505	10	48	-122	-93	D-lactate dehydrogenase	((&))
sRNA62	158	Gene2339	-11.69	0.563549054078951	0.066857665903761	37	67	-125	-105	CPBP family intramembrane glutamic endopeptidase MroQ	((&))
sRNA212	159	Gene560	-6.36	0.2060658087203315	0.0948612143482108	16	33	-159	-113	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	((&))
sRNA242	160	Gene1104	-9.88	0.4520478660396568	0.0618803132053938	22	37	-166	-130	L-lactate dehydrogenase	((&))
sRNA200	161	Gene2466	-8.0	0.1496277552889406	0.442137824996571	14	47	15	68	DUF5083 family protein	((&))
sRNA221	162	Gene471	-20.75	0.3393862664035768	0.1027792146207974	23	52	-129	-98	response regulator transcription factor ArlR	(((((&)))))
sRNA209	163	Gene1084	-8.39	0.7933820311143415	0.0599204174281808	31	65	-6	34	ATP phosphoribosyltransferase regulatory subunit	((&))
sRNA226	164	Gene551	-11.73	0.2467661919021944	0.095791144878577	27	37	-100	-77	tyrosine-type recombinase/integrase	((&))
sRNA9	165	Gene44	-9.18	0.8676666787356918	0.0610630709461939	28	62	-132	-107	inositol monophosphatase	((&))
sRNA177	166	Gene562	-17.19	0.0259846105250162	0.1397030547224229	27	52	-108	-59	pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha	((((&))))
sRNA86	167	Gene575	-6.58	0.5692582304371206	0.0852981421754496	16	47	63	89	S-ribosylhomocysteine lyase	((&))
sRNA9	168	Gene1204	-15.76	0.2772090466356709	0.0838837913812433	14	49	-19	23	DUF4887 domain-containing protein	(((&)))
sRNA2	169	Gene1840	-8.71	0.5636153779458188	0.0693414417244078	19	54	41	88	DUF5325 family protein	((&))
sRNA198	170	Gene2410	-9.13	0.3736545868828248	0.082113721611239	33	42	47	76	prephenate dehydrogenase	((&))
sRNA50	171	Gene1479	-9.47	0.8302331108036309	0.0594106941695144	8	19	-115	-56	penicillin-binding protein 2	((&))
sRNA165	172	Gene216	-9.56	0.0859489912100683	0.1134067717960041	14	29	75	130	CbiQ family ECF transporter T component	((&))
sRNA200	173	Gene1242	-6.4	0.4943239160027772	0.2679799500811264	6	14	-200	-141	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG	((&))
sRNA10	174	Gene285	-8.28	0.1564485927009873	0.0895759154722745	10	24	-20	2	YisL family protein	((&))
sRNA50	175	Gene193	-7.46	7.34068824059797e-07	0.3691202908637971	28	44	-116	-58	RluA family pseudouridine synthase	((&))
sRNA167	176	Gene1022	-6.79	0.5807289353674907	0.0700334046570303	4	31	-7	52	nitrate reductase subunit alpha	((&))
sRNA17	177	Gene1745	-6.4	0.1520767139553975	0.0886139221120793	1	25	-56	0	SH3 domain-containing protein	((&))
sRNA9	178	Gene759	-7.66	0.0567614105164786	0.547168924758574	28	55	79	122	arylamine N-acetyltransferase	((&))
sRNA68	179	Gene2780	-7.09	0.3083792321468717	0.087413695334306	19	27	53	89	type 8 capsular polysaccharide synthesis protein Cap8B	((&))
sRNA9	180	Gene514	-9.36	0.5363250681430365	0.0667756340944451	37	47	-110	-63	teichoic acid ribitol-phosphate polymerase TarL	((&))
sRNA183	181	Gene2162	-10.62	0.1684156047334764	0.0884909852935784	4	17	71	93	glycine glycyltransferase FemB	((&))
sRNA131	182	Gene134	-8.96	0.1011491476389491	0.2977681708545071	25	35	-73	-18	LysM peptidoglycan-binding domain-containing protein	((&))
sRNA9	183	Gene513	-7.69	0.4871776287532039	0.0695559227212986	10	46	-105	-66	type II pantothenate kinase	((&))
sRNA204	184	Gene914	-8.91	0.1836269793919674	0.1154691286106525	7	32	-123	-101	N-acetylmuramoyl-L-alanine amidase	((&))
sRNA9	185	Gene1367	-6.56	0.2187672806537757	0.3893052107428155	19	31	42	69	class I SAM-dependent methyltransferase	((&))
sRNA266	186	Gene2511	-12.89	0.2916588651867375	0.077805290297896	10	29	-71	-28	prephenate dehydratase	(((&)))
sRNA46	187	Gene2017	-8.35	0.6545227580898123	0.0594988467126789	6	22	22	70	replication initiation and membrane attachment family protein	((&))
sRNA213	188	Gene1157	-12.29	0.0423035883677103	0.2183297500847608	3	21	-98	-67	DoxX family protein	(((&)))
sRNA200	189	Gene1489	-10.17	0.8841938317072928	0.0996389283205646	30	52	-150	-110	S1 domain-containing RNA-binding protein	((&))
sRNA221	190	Gene594	-11.6	0.188064659254751	0.1212711752077276	10	46	15	63	hydroxymethylglutaryl-CoA reductase, degradative	((&))
sRNA29	191	Gene1595	-8.98	0.2659093800795568	0.3434098847166287	39	51	-31	-6	7-cyano-7-deazaguanine synthase QueC	((&))
sRNA93	192	Gene2536	-7.06	0.5631940321710726	0.0577348165377933	36	75	-177	-136	SA1362 family protein	((&))
sRNA209	193	Gene971	-8.04	0.3859331557627526	0.0856969036944478	27	48	78	101	30S ribosomal protein S3	((&))
sRNA245	194	Gene2049	-9.96	0.8720698207151025	0.0718422267548967	13	30	0	46	exodeoxyribonuclease VII small subunit	((&))
sRNA46	195	Gene1626	-7.25	0.1100499863086076	0.1017292717448297	39	70	-138	-97	4,4'-diapophytoene synthase CrtM	((&))
sRNA9	196	Gene1863	-6.09	0.645450516360508	0.0668435294638326	18	34	60	109	PH domain-containing protein	((&))
sRNA17	197	Gene1753	-7.17	0.4334023284611583	0.0650996447810916	25	41	-185	-141	3-hexulose-6-phosphate synthase	((&))
sRNA221	198	Gene1041	-9.78	0.5929139058285107	0.0823976116224366	6	30	8	65	GlsB/YeaQ/YmgE family stress response membrane protein	((&))
sRNA249	199	Gene2080	-10.02	0.3211131626539805	0.221962671969249	11	35	-160	-132	ferredoxin	((&))
sRNA243	200	Gene18	-5.71	0.1494949480632326	0.1266632532426807	34	45	-29	-4	50S ribosomal protein L20	((&))
sRNA9	201	Gene744	-6.28	0.3487571699103807	0.3229230464820316	23	52	-80	-53	SE1832 family protein	((&))
sRNA274	202	Gene2855	-9.76	0.5751408357831875	0.0726025342891086	1	12	-83	-33	type I restriction endonuclease subunit R	((&))
sRNA139	203	Gene950	-8.28	0.075739734271521	0.1902832670929073	19	46	-66	-12	ribosome silencing factor	((&))
sRNA48	204	Gene922	-7.38	0.0927421889437705	0.1008748180936333	38	74	-164	-127	Wzz/FepE/Etk N-terminal domain-containing protein	((&))
sRNA36	205	Gene1242	-6.02	0.7452949871494475	0.0784971328261309	24	63	-124	-96	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG	((&))
sRNA13	206	Gene207	-8.09	0.2185593666408738	0.0893288140608087	23	32	28	62	phenol-soluble modulin export ABC transporter ATP-binding protein PmtC	((&))
