id1;id2;start1;end1;start2;end2;E
Gene398;sRNA221;676;705;11;40;-18.71
Gene1226;sRNA6;511;528;165;182;-18.67
Gene1157;sRNA199;1484;1513;186;215;-18.64
Gene472;sRNA209;883;917;12;46;-18.6
Gene1406;sRNA16;1208;1227;78;97;-18.54
Gene2166;sRNA133;29;39;44;54;-18.52
Gene786;sRNA72;803;825;30;52;-18.5
Gene1376;sRNA101;129;141;9;21;-18.48
Gene2365;sRNA9;129;157;138;166;-18.47
Gene702;sRNA13;1078;1111;177;210;-18.44
Gene1106;sRNA13;757;780;182;205;-18.44
Gene432;sRNA221;274;303;102;131;-18.4
Gene1357;sRNA133;336;357;107;128;-18.39
Gene910;sRNA177;389;408;77;96;-18.37
Gene701;sRNA226;1067;1092;186;211;-18.27
Gene110;sRNA242;1467;1485;50;68;-18.23
Gene554;sRNA140;544;572;138;166;-18.22
Gene1669;sRNA282;889;896;93;100;-18.2
Gene2441;sRNA287;258;290;59;91;-18.18
Gene385;sRNA112;1346;1354;178;186;-18.18
Gene817;sRNA150;58;89;81;112;-18.16
Gene816;sRNA232;292;313;165;186;-18.13
Gene1563;sRNA244;1144;1163;44;63;-18.11
Gene1180;sRNA220;780;797;15;32;-18.07
Gene478;sRNA37;431;451;11;31;-18.07
Gene1317;sRNA16;1107;1141;122;156;-18.06
Gene2027;sRNA56;92;108;178;194;-18.02
Gene2796;sRNA100;399;414;115;130;-18.02
Gene2145;sRNA16;612;643;102;133;-18.0
Gene1027;sRNA31;909;925;172;188;-17.97
Gene263;sRNA9;634;666;10;42;-17.96
Gene354;sRNA32;85;119;17;51;-17.95
Gene2086;sRNA31;204;236;99;131;-17.94
Gene136;sRNA128;325;348;99;122;-17.94
Gene1331;sRNA239;775;802;131;158;-17.93
Gene867;sRNA9;965;974;113;122;-17.92
Gene898;sRNA187;1072;1080;146;154;-17.91
Gene409;sRNA9;640;646;115;121;-17.91
Gene1710;sRNA245;1156;1188;39;71;-17.88
Gene2820;sRNA17;973;979;9;15;-17.83
Gene1854;sRNA6;869;879;9;19;-17.79
Gene2660;sRNA239;1205;1226;27;48;-17.7
Gene1540;sRNA207;1168;1183;1;16;-17.7
Gene1286;sRNA53;1252;1283;131;162;-17.64
Gene1768;sRNA214;955;989;18;52;-17.62
Gene2047;sRNA31;792;826;107;141;-17.62
Gene1128;sRNA213;720;738;98;116;-17.61
Gene2846;sRNA229;910;934;136;160;-17.56
Gene1489;sRNA221;374;383;29;38;-17.55
Gene898;sRNA104;561;591;39;69;-17.52
Gene213;sRNA255;1330;1361;53;84;-17.49
Gene787;sRNA13;170;179;18;27;-17.48
Gene2340;sRNA50;1473;1492;175;194;-17.47
Gene530;sRNA221;1120;1147;49;76;-17.45
Gene1013;sRNA255;1222;1234;21;33;-17.43
Gene1152;sRNA255;257;268;25;36;-17.43
Gene2427;sRNA87;1317;1330;76;89;-17.43
Gene248;sRNA50;817;830;41;54;-17.42
Gene375;sRNA183;388;417;160;189;-17.41
Gene280;sRNA225;974;997;63;86;-17.39
Gene1271;sRNA16;369;400;57;88;-17.39
Gene1595;sRNA221;918;933;21;36;-17.39
Gene1094;sRNA240;202;233;70;101;-17.38
Gene2641;sRNA23;384;397;110;123;-17.35
Gene251;sRNA69;371;387;21;37;-17.32
Gene2596;sRNA79;556;568;100;112;-17.28
Gene1497;sRNA56;955;976;88;109;-17.27
Gene1005;sRNA221;1408;1432;123;147;-17.27
Gene1860;sRNA213;24;51;66;93;-17.26
Gene1874;sRNA29;131;139;89;97;-17.23
Gene829;sRNA117;378;387;73;82;-17.23
Gene559;sRNA108;99;122;197;220;-17.22
Gene1735;sRNA29;932;965;190;223;-17.2
Gene73;sRNA128;735;764;14;43;-17.16
Gene1350;sRNA147;124;133;194;203;-17.15
Gene1113;sRNA14;595;622;125;152;-17.14
Gene1507;sRNA28;740;755;171;186;-17.13
Gene1772;sRNA214;1173;1180;17;24;-17.09
Gene1260;sRNA159;210;216;94;100;-17.08
Gene285;sRNA221;563;585;163;185;-17.08
Gene1960;sRNA36;1436;1449;109;122;-17.06
Gene2423;sRNA123;783;811;19;47;-17.04
Gene1132;sRNA1;1066;1083;167;184;-17.04
Gene524;sRNA249;1083;1112;109;138;-17.0
Gene1320;sRNA214;706;739;129;162;-16.96
Gene2638;sRNA165;1061;1073;88;100;-16.93
Gene2066;sRNA29;779;790;33;44;-16.91
Gene1368;sRNA245;87;101;119;133;-16.9
Gene1262;sRNA170;1068;1096;146;174;-16.88
Gene1104;sRNA110;873;893;37;57;-16.87
Gene672;sRNA117;12;31;182;201;-16.86
Gene1860;sRNA242;771;794;124;147;-16.84
Gene339;sRNA109;308;329;16;37;-16.84
Gene457;sRNA224;1105;1111;123;129;-16.83
Gene1621;sRNA59;33;40;118;125;-16.78
Gene1803;sRNA133;1207;1217;146;156;-16.77
Gene1571;sRNA3;1153;1161;75;83;-16.76
Gene1078;sRNA152;807;840;98;131;-16.76
Gene1111;sRNA109;276;308;114;146;-16.74
Gene1749;sRNA2;1199;1205;192;198;-16.73
Gene918;sRNA120;1396;1403;146;153;-16.67
Gene528;sRNA214;1209;1225;78;94;-16.65
Gene1504;sRNA38;445;452;96;103;-16.64
Gene293;sRNA123;489;506;193;210;-16.63
Gene947;sRNA56;287;308;132;153;-16.63
Gene1726;sRNA29;1305;1328;138;161;-16.63
Gene1121;sRNA109;638;671;9;42;-16.62
Gene504;sRNA243;771;779;6;14;-16.62
Gene1150;sRNA82;95;103;10;18;-16.62
Gene2581;sRNA29;1251;1269;70;88;-16.62
Gene441;sRNA9;1294;1310;66;82;-16.6
Gene2339;sRNA62;297;307;135;145;-16.6
Gene560;sRNA212;1353;1376;126;149;-16.59
Gene1104;sRNA242;1044;1075;136;167;-16.58
Gene2466;sRNA200;608;623;146;161;-16.57
Gene471;sRNA221;1435;1467;74;106;-16.55
Gene1084;sRNA209;451;465;186;200;-16.55
Gene551;sRNA226;1273;1279;72;78;-16.54
Gene44;sRNA9;181;215;40;74;-16.53
Gene562;sRNA177;324;332;25;33;-16.53
Gene575;sRNA86;1005;1031;32;58;-16.52
Gene1204;sRNA9;1285;1298;52;65;-16.52
Gene1840;sRNA2;750;765;189;204;-16.49
Gene2410;sRNA198;140;148;124;132;-16.48
Gene1479;sRNA50;1021;1054;86;119;-16.45
Gene216;sRNA165;599;623;47;71;-16.45
Gene1242;sRNA200;1486;1496;152;162;-16.43
Gene285;sRNA10;890;898;137;145;-16.43
Gene193;sRNA50;844;861;119;136;-16.41
Gene1022;sRNA167;697;725;158;186;-16.41
Gene1745;sRNA17;1177;1199;5;27;-16.4
Gene759;sRNA9;926;946;139;159;-16.36
Gene2780;sRNA68;150;170;24;44;-16.34
Gene514;sRNA9;1135;1166;37;68;-16.33
Gene2162;sRNA183;26;34;103;111;-16.31
Gene134;sRNA131;1489;1509;67;87;-16.31
Gene513;sRNA9;957;984;50;77;-16.3
Gene914;sRNA204;887;902;75;90;-16.29
Gene1367;sRNA9;1142;1171;46;75;-16.28
Gene2511;sRNA266;1470;1490;13;33;-16.27
Gene2017;sRNA46;674;704;3;33;-16.27
Gene1157;sRNA213;929;936;4;11;-16.27
Gene1489;sRNA200;1253;1259;87;93;-16.26
Gene594;sRNA221;764;779;51;66;-16.25
Gene1595;sRNA29;122;129;83;90;-16.25
Gene2536;sRNA93;1351;1360;104;113;-16.25
Gene971;sRNA209;470;482;94;106;-16.25
Gene2049;sRNA245;288;316;152;180;-16.24
Gene1626;sRNA46;526;556;142;172;-16.23
Gene1863;sRNA9;1177;1211;13;47;-16.22
Gene1753;sRNA17;592;601;1;10;-16.21
Gene1041;sRNA221;42;69;91;118;-16.2
Gene2080;sRNA249;275;282;119;126;-16.16
Gene18;sRNA243;1463;1491;59;87;-16.16
Gene744;sRNA9;208;233;141;166;-16.16
Gene2855;sRNA274;780;787;12;19;-16.15
Gene950;sRNA139;167;173;85;91;-16.14
Gene922;sRNA48;112;140;167;195;-16.14
Gene1242;sRNA36;1374;1386;131;143;-16.12
Gene207;sRNA13;1154;1172;31;49;-16.1
Gene654;sRNA160;736;745;83;92;-16.1
Gene2181;sRNA9;813;831;174;192;-16.08
Gene1767;sRNA242;217;246;169;198;-16.07
Gene1885;sRNA40;1406;1418;29;41;-16.07
Gene2103;sRNA6;25;36;34;45;-16.06
Gene23;sRNA9;68;88;114;134;-16.05
Gene1723;sRNA3;979;998;50;69;-16.04
Gene973;sRNA19;1008;1019;113;124;-16.04
Gene1801;sRNA9;235;264;4;33;-16.04
Gene767;sRNA211;292;315;106;129;-16.03
Gene1113;sRNA158;1023;1047;138;162;-16.02
Gene2250;sRNA32;702;714;86;98;-16.0
Gene840;sRNA225;728;741;75;88;-15.99
Gene1240;sRNA221;556;570;176;190;-15.98
Gene746;sRNA223;33;52;97;116;-15.98
Gene2534;sRNA9;1036;1042;188;194;-15.97
Gene1692;sRNA267;213;243;39;69;-15.97
Gene903;sRNA9;1163;1170;32;39;-15.96
Gene1830;sRNA236;1446;1473;17;44;-15.96
Gene163;sRNA229;624;651;110;137;-15.95
Gene432;sRNA272;771;804;4;37;-15.94
Gene2104;sRNA232;1242;1249;108;115;-15.93
Gene601;sRNA29;664;674;141;151;-15.93
Gene1683;sRNA69;822;845;72;95;-15.92
Gene1763;sRNA16;308;333;83;108;-15.92
Gene95;sRNA161;1199;1207;125;133;-15.9
Gene2745;sRNA9;1173;1189;156;172;-15.9
Gene1148;sRNA130;950;961;123;134;-15.89
Gene1796;sRNA17;548;580;87;119;-15.89
Gene2731;sRNA16;808;831;130;153;-15.88
Gene976;sRNA9;1418;1437;12;31;-15.87
Gene1436;sRNA101;74;84;103;113;-15.86
Gene2180;sRNA326;298;304;159;165;-15.85
Gene914;sRNA140;920;929;161;170;-15.82
Gene701;sRNA9;731;740;1;10;-15.81
Gene97;sRNA19;877;897;131;151;-15.8
Gene610;sRNA9;778;796;79;97;-15.8
Gene1670;sRNA61;1419;1442;67;90;-15.8
Gene1937;sRNA80;430;440;63;73;-15.8
Gene251;sRNA267;200;212;112;124;-15.79
Gene2119;sRNA9;1448;1473;25;50;-15.77
Gene970;sRNA80;1086;1104;11;29;-15.77
Gene1676;sRNA16;342;351;146;155;-15.77
Gene1136;sRNA90;866;895;29;58;-15.76
Gene748;sRNA16;1069;1096;29;56;-15.76
Gene442;sRNA206;803;837;92;126;-15.75
Gene795;sRNA83;1113;1146;44;77;-15.75
Gene2108;sRNA210;34;53;13;32;-15.75
Gene62;sRNA150;646;660;11;25;-15.75
Gene1351;sRNA3;233;240;193;200;-15.74
Gene743;sRNA210;768;785;126;143;-15.73
Gene1374;sRNA9;37;54;166;183;-15.73
Gene2365;sRNA267;1484;1490;46;52;-15.72
Gene324;sRNA210;291;320;159;188;-15.71
Gene926;sRNA80;198;212;95;109;-15.71
Gene2672;sRNA40;895;926;167;198;-15.71
Gene2061;sRNA96;1279;1302;127;150;-15.69
Gene2344;sRNA79;1105;1125;196;216;-15.68
Gene1990;sRNA234;1471;1479;27;35;-15.67
Gene1565;sRNA30;137;164;117;144;-15.66
Gene778;sRNA77;190;220;65;95;-15.66
Gene2265;sRNA272;130;139;150;159;-15.66
Gene1126;sRNA1;210;244;99;133;-15.65
Gene833;sRNA41;1393;1410;130;147;-15.65
Gene1879;sRNA38;292;316;44;68;-15.63
Gene1225;sRNA117;1401;1424;17;40;-15.62
Gene1901;sRNA50;1372;1379;68;75;-15.61
Gene156;sRNA50;169;180;113;124;-15.61
Gene191;sRNA151;805;839;19;53;-15.6
Gene895;sRNA103;177;188;12;23;-15.6
Gene685;sRNA157;324;331;33;40;-15.6
Gene1569;sRNA9;509;532;99;122;-15.6
Gene1292;sRNA28;804;836;98;130;-15.59
Gene486;sRNA36;1139;1153;184;198;-15.59
Gene456;sRNA119;1054;1066;89;101;-15.59
Gene1653;sRNA199;1314;1328;164;178;-15.59
Gene2164;sRNA9;147;165;4;22;-15.59
Gene321;sRNA242;1298;1319;110;131;-15.59
Gene2156;sRNA275;222;243;81;102;-15.58
Gene474;sRNA209;341;369;5;33;-15.58
Gene1700;sRNA221;510;526;183;199;-15.58
Gene13;sRNA38;515;544;128;157;-15.57
Gene1974;sRNA200;70;79;89;98;-15.56
Gene2526;sRNA174;1382;1407;97;122;-15.56
Gene326;sRNA209;909;917;180;188;-15.55
Gene1090;sRNA233;557;587;22;52;-15.55
Gene1489;sRNA6;886;901;32;47;-15.54
Gene906;sRNA13;766;797;164;195;-15.54
Gene1049;sRNA80;1347;1373;183;209;-15.54
Gene2088;sRNA227;92;104;26;38;-15.53
Gene2116;sRNA118;1366;1379;117;130;-15.53
Gene286;sRNA187;424;441;120;137;-15.53
Gene1113;sRNA50;1439;1457;140;158;-15.53
Gene166;sRNA9;711;719;103;111;-15.53
Gene153;sRNA240;968;974;43;49;-15.53
Gene410;sRNA97;275;302;185;212;-15.53
Gene2737;sRNA207;861;893;83;115;-15.53
Gene176;sRNA152;44;66;86;108;-15.52
Gene622;sRNA19;1108;1117;142;151;-15.51
Gene654;sRNA218;434;454;159;179;-15.51
Gene1348;sRNA89;810;820;88;98;-15.51
Gene1035;sRNA238;94;123;148;177;-15.51
Gene160;sRNA180;1199;1222;181;204;-15.5
Gene436;sRNA190;1430;1445;66;81;-15.5
Gene1111;sRNA213;202;210;96;104;-15.49
Gene1971;sRNA59;499;532;114;147;-15.49
Gene2558;sRNA17;481;515;167;201;-15.49
Gene360;sRNA242;330;349;72;91;-15.49
Gene2147;sRNA139;210;226;181;197;-15.48
Gene1327;sRNA32;618;629;187;198;-15.47
Gene2229;sRNA276;1041;1062;15;36;-15.47
Gene1803;sRNA18;107;125;159;177;-15.46
Gene2449;sRNA90;165;184;114;133;-15.44
Gene1696;sRNA38;607;636;134;163;-15.44
Gene601;sRNA224;629;641;80;92;-15.43
Gene360;sRNA50;1216;1237;149;170;-15.42
Gene442;sRNA86;1220;1233;24;37;-15.42
Gene1812;sRNA214;1332;1350;108;126;-15.41
Gene2035;sRNA50;137;161;50;74;-15.41
Gene1069;sRNA139;953;964;108;119;-15.4
Gene30;sRNA9;860;891;89;120;-15.39
Gene890;sRNA36;1118;1151;82;115;-15.39
Gene1160;sRNA2;751;785;57;91;-15.38
Gene82;sRNA32;1112;1136;87;111;-15.38
Gene2466;sRNA152;161;193;6;38;-15.38
Gene2585;sRNA113;148;162;18;32;-15.37
Gene702;sRNA190;585;606;122;143;-15.37
Gene895;sRNA134;456;489;19;52;-15.36
Gene2450;sRNA72;1112;1137;133;158;-15.36
Gene2167;sRNA50;1038;1047;199;208;-15.36
Gene1114;sRNA214;1339;1363;178;202;-15.35
Gene1180;sRNA159;1145;1176;174;205;-15.35
Gene2167;sRNA205;952;961;151;160;-15.34
Gene419;sRNA126;833;855;141;163;-15.34
Gene112;sRNA13;716;726;184;194;-15.34
Gene129;sRNA106;733;742;153;162;-15.34
Gene2695;sRNA164;933;957;109;133;-15.33
Gene1323;sRNA112;282;304;145;167;-15.33
Gene1140;sRNA198;801;811;100;110;-15.33
Gene1235;sRNA97;1451;1478;122;149;-15.32
Gene787;sRNA50;471;480;165;174;-15.32
Gene1763;sRNA6;1309;1324;40;55;-15.31
Gene327;sRNA211;1301;1309;137;145;-15.3
Gene2593;sRNA9;1349;1373;28;52;-15.3
Gene1903;sRNA204;1252;1273;122;143;-15.29
Gene436;sRNA199;891;902;27;38;-15.29
Gene1803;sRNA17;596;614;151;169;-15.29
Gene2280;sRNA208;648;664;99;115;-15.28
Gene1669;sRNA152;574;600;120;146;-15.28
Gene49;sRNA204;654;677;183;206;-15.27
Gene1832;sRNA31;257;283;70;96;-15.27
Gene528;sRNA209;1161;1189;89;117;-15.27
Gene173;sRNA37;1232;1253;69;90;-15.25
Gene881;sRNA109;464;473;21;30;-15.24
Gene419;sRNA242;1164;1196;56;88;-15.24
Gene678;sRNA47;1029;1037;96;104;-15.24
Gene413;sRNA97;424;449;121;146;-15.24
Gene1941;sRNA6;349;371;7;29;-15.23
Gene286;sRNA220;942;967;36;61;-15.22
Gene215;sRNA232;1307;1317;38;48;-15.22
Gene1003;sRNA128;587;607;32;52;-15.22
Gene1552;sRNA240;1007;1019;197;209;-15.22
Gene1845;sRNA150;1458;1482;48;72;-15.21
Gene1180;sRNA125;1244;1273;27;56;-15.21
Gene125;sRNA8;820;853;168;201;-15.21
Gene1820;sRNA32;740;757;175;192;-15.21
Gene458;sRNA236;874;884;196;206;-15.2
Gene349;sRNA176;787;811;182;206;-15.2
Gene355;sRNA9;1398;1414;166;182;-15.2
Gene1775;sRNA38;1315;1333;17;35;-15.2
Gene569;sRNA9;438;444;6;12;-15.19
Gene2779;sRNA214;1021;1031;51;61;-15.19
Gene373;sRNA34;787;811;36;60;-15.18
Gene1848;sRNA34;942;971;87;116;-15.18
Gene1488;sRNA2;856;888;74;106;-15.17
Gene1019;sRNA29;450;461;52;63;-15.17
Gene2042;sRNA118;1351;1372;142;163;-15.17
Gene952;sRNA131;1078;1087;55;64;-15.17
Gene2685;sRNA74;817;839;102;124;-15.15
Gene426;sRNA80;1119;1137;152;170;-15.15
Gene2562;sRNA125;60;92;169;201;-15.15
Gene1816;sRNA67;337;348;79;90;-15.15
Gene584;sRNA69;164;190;40;66;-15.14
Gene1424;sRNA98;946;966;63;83;-15.12
Gene636;sRNA127;1131;1138;68;75;-15.11
Gene1703;sRNA200;202;232;63;93;-15.11
Gene348;sRNA31;1325;1355;89;119;-15.11
Gene2579;sRNA211;890;901;137;148;-15.1
Gene1543;sRNA31;551;564;80;93;-15.1
Gene56;sRNA9;1038;1052;12;26;-15.1
Gene1931;sRNA103;904;928;173;197;-15.09
Gene2662;sRNA29;1017;1032;61;76;-15.09
Gene393;sRNA40;535;569;36;70;-15.09
Gene631;sRNA101;505;521;10;26;-15.08
Gene1999;sRNA24;1234;1259;198;223;-15.07
Gene2683;sRNA9;1480;1491;143;154;-15.07
Gene1071;sRNA143;469;492;109;132;-15.07
Gene392;sRNA106;1498;1513;142;157;-15.06
Gene1505;sRNA97;401;421;105;125;-15.06
Gene817;sRNA50;1081;1094;6;19;-15.05
Gene2850;sRNA19;883;916;17;50;-15.05
Gene186;sRNA243;664;684;75;95;-15.05
Gene1482;sRNA185;281;304;197;220;-15.05
Gene557;sRNA278;1029;1062;180;213;-15.04
Gene1587;sRNA247;613;646;95;128;-15.04
Gene1114;sRNA172;1005;1011;113;119;-15.04
Gene1408;sRNA8;306;330;192;216;-15.04
Gene775;sRNA190;344;351;139;146;-15.04
Gene1630;sRNA234;154;160;71;77;-15.04
Gene271;sRNA236;1378;1406;164;192;-15.03
Gene1751;sRNA3;358;371;144;157;-15.01
Gene1432;sRNA31;698;727;44;73;-15.01
Gene870;sRNA120;408;414;123;129;-15.01
Gene488;sRNA113;1436;1465;3;32;-15.01
Gene1110;sRNA146;1054;1065;13;24;-15.01
Gene7;sRNA37;930;953;157;180;-15.01
Gene1666;sRNA104;1396;1427;170;201;-15.0
Gene182;sRNA170;632;641;42;51;-15.0
Gene1662;sRNA9;948;958;58;68;-15.0
Gene294;sRNA124;855;861;145;151;-15.0
Gene352;sRNA9;503;537;129;163;-15.0
Gene80;sRNA152;8;26;136;154;-15.0
Gene749;sRNA16;618;625;53;60;-14.98
Gene1084;sRNA220;1010;1032;67;89;-14.98
Gene2253;sRNA213;138;160;56;78;-14.98
Gene1125;sRNA235;695;705;131;141;-14.97
Gene612;sRNA146;852;862;97;107;-14.97
Gene1623;sRNA19;1401;1407;121;127;-14.96
Gene562;sRNA139;933;960;134;161;-14.96
Gene693;sRNA135;1173;1197;133;157;-14.96
Gene2651;sRNA152;1009;1025;96;112;-14.95
Gene2107;sRNA6;1284;1311;21;48;-14.95
Gene77;sRNA242;127;151;106;130;-14.95
Gene1644;sRNA207;578;595;190;207;-14.95
Gene1113;sRNA118;805;833;109;137;-14.95
Gene2513;sRNA100;1349;1356;54;61;-14.94
Gene2230;sRNA37;977;983;168;174;-14.94
Gene851;sRNA233;113;133;156;176;-14.94
Gene821;sRNA70;651;664;174;187;-14.94
Gene110;sRNA145;238;256;135;153;-14.94
Gene270;sRNA50;1385;1414;146;175;-14.93
Gene2251;sRNA9;991;1011;154;174;-14.93
Gene326;sRNA129;64;72;17;25;-14.93
Gene2207;sRNA200;455;485;124;154;-14.93
Gene2707;sRNA79;1290;1315;165;190;-14.92
Gene2241;sRNA1;1469;1478;54;63;-14.92
Gene2232;sRNA3;604;613;58;67;-14.92
Gene404;sRNA29;624;640;135;151;-14.91
Gene192;sRNA56;1444;1461;20;37;-14.91
Gene384;sRNA160;340;356;34;50;-14.9
Gene1413;sRNA140;1299;1313;74;88;-14.9
Gene1806;sRNA125;1394;1409;118;133;-14.89
Gene2206;sRNA147;227;236;12;21;-14.89
Gene1190;sRNA220;1250;1258;72;80;-14.88
Gene2563;sRNA282;909;919;96;106;-14.88
Gene2526;sRNA221;1253;1272;102;121;-14.88
Gene452;sRNA16;370;389;78;97;-14.86
Gene1048;sRNA209;1153;1160;21;28;-14.86
Gene129;sRNA191;808;828;35;55;-14.86
Gene1555;sRNA17;1049;1057;160;168;-14.86
Gene538;sRNA165;699;733;160;194;-14.86
Gene503;sRNA258;293;311;149;167;-14.86
Gene1973;sRNA40;356;378;10;32;-14.85
Gene1537;sRNA150;838;869;140;171;-14.85
Gene1134;sRNA226;135;142;43;50;-14.85
Gene2266;sRNA133;4;26;121;143;-14.85
Gene1322;sRNA16;1251;1281;104;134;-14.85
Gene1665;sRNA32;890;915;140;165;-14.84
Gene1108;sRNA157;681;709;174;202;-14.84
Gene1995;sRNA12;445;454;53;62;-14.84
Gene2079;sRNA16;1442;1470;42;70;-14.84
Gene2115;sRNA120;1309;1335;54;80;-14.84
Gene1340;sRNA221;837;849;134;146;-14.83
Gene899;sRNA234;27;45;167;185;-14.83
Gene2151;sRNA50;737;762;42;67;-14.83
Gene33;sRNA198;249;259;16;26;-14.82
Gene2516;sRNA197;366;397;36;67;-14.82
Gene105;sRNA207;1226;1240;62;76;-14.79
Gene2605;sRNA201;1462;1474;165;177;-14.79
Gene1974;sRNA16;198;221;191;214;-14.79
Gene1559;sRNA249;930;960;125;155;-14.78
Gene1323;sRNA17;638;667;57;86;-14.78
Gene797;sRNA128;607;622;89;104;-14.77
Gene467;sRNA9;73;106;173;206;-14.77
Gene922;sRNA64;247;274;55;82;-14.77
Gene1093;sRNA177;853;865;68;80;-14.77
Gene1087;sRNA77;1160;1180;193;213;-14.77
Gene505;sRNA223;214;244;117;147;-14.76
Gene296;sRNA9;1348;1360;133;145;-14.76
Gene2550;sRNA29;103;110;132;139;-14.76
Gene2245;sRNA17;328;338;111;121;-14.75
Gene270;sRNA63;596;627;58;89;-14.74
Gene83;sRNA166;1248;1262;71;85;-14.74
Gene2027;sRNA98;257;290;155;188;-14.74
Gene46;sRNA221;1372;1394;81;103;-14.73
Gene2841;sRNA192;1132;1149;141;158;-14.73
Gene1722;sRNA200;927;950;80;103;-14.73
Gene2349;sRNA77;1174;1198;10;34;-14.73
Gene1267;sRNA16;1417;1439;188;210;-14.73
Gene265;sRNA95;1;31;86;116;-14.73
Gene1871;sRNA112;1385;1405;75;95;-14.72
Gene2122;sRNA79;692;722;71;101;-14.72
Gene1804;sRNA43;1114;1126;126;138;-14.71
Gene1700;sRNA56;1099;1122;98;121;-14.7
Gene2046;sRNA37;500;515;31;46;-14.69
Gene2490;sRNA183;739;760;22;43;-14.68
Gene2180;sRNA232;636;652;190;206;-14.68
Gene2854;sRNA96;344;350;125;131;-14.68
Gene268;sRNA289;1121;1140;92;111;-14.67
Gene921;sRNA211;852;881;180;209;-14.67
Gene136;sRNA72;283;297;193;207;-14.67
Gene698;sRNA243;719;750;85;116;-14.67
Gene908;sRNA13;33;55;196;218;-14.66
Gene177;sRNA220;1140;1147;78;85;-14.66
Gene479;sRNA142;455;480;195;220;-14.66
Gene1394;sRNA98;429;435;128;134;-14.65
Gene143;sRNA232;828;840;158;170;-14.65
Gene1597;sRNA59;691;717;51;77;-14.65
Gene1681;sRNA3;174;200;100;126;-14.65
Gene171;sRNA124;1157;1174;51;68;-14.64
Gene817;sRNA90;1466;1496;150;180;-14.64
Gene427;sRNA145;94;105;51;62;-14.64
Gene1912;sRNA31;1372;1389;8;25;-14.63
Gene520;sRNA221;1426;1435;60;69;-14.63
Gene2217;sRNA55;420;448;51;79;-14.63
Gene2190;sRNA28;405;429;198;222;-14.62
Gene131;sRNA16;942;954;166;178;-14.61
Gene588;sRNA245;1210;1217;185;192;-14.61
Gene966;sRNA143;976;1004;118;146;-14.61
Gene171;sRNA128;376;401;119;144;-14.6
Gene2569;sRNA3;703;737;184;218;-14.6
Gene118;sRNA19;498;528;18;48;-14.6
Gene404;sRNA2;1230;1256;173;199;-14.59
Gene725;sRNA242;1439;1447;138;146;-14.59
Gene2740;sRNA200;1390;1421;186;217;-14.59
Gene2703;sRNA211;739;767;108;136;-14.58
Gene1355;sRNA24;420;427;199;206;-14.58
Gene1751;sRNA240;586;611;153;178;-14.58
Gene394;sRNA9;1243;1253;33;43;-14.58
Gene137;sRNA9;1399;1428;122;151;-14.57
Gene1500;sRNA101;1047;1076;101;130;-14.57
Gene2361;sRNA200;461;493;56;88;-14.57
Gene561;sRNA236;720;754;179;213;-14.56
Gene248;sRNA243;1379;1398;43;62;-14.56
Gene2695;sRNA9;1076;1102;35;61;-14.56
Gene1401;sRNA305;999;1028;100;129;-14.56
