sRNA_ID	mRNA_ID	Prediction_Probability
sRNA128	Gene73	0.51409
sRNA147	Gene1350	0.55616
sRNA14	Gene1113	0.51794
sRNA28	Gene1507	0.48661
sRNA214	Gene1772	0.55166
sRNA159	Gene1260	0.546
sRNA221	Gene285	0.51117
sRNA36	Gene1960	0.50831
sRNA123	Gene2423	0.44599
sRNA1	Gene1132	0.511
sRNA249	Gene524	0.49159
sRNA214	Gene1320	0.51731
sRNA165	Gene2638	0.50101
sRNA29	Gene2066	0.49863
sRNA245	Gene1368	0.52681
sRNA170	Gene1262	0.50643
sRNA110	Gene1104	0.5297
sRNA117	Gene672	0.53125
sRNA242	Gene1860	0.46513
sRNA109	Gene339	0.54322
sRNA224	Gene457	0.58776
sRNA59	Gene1621	0.50442
sRNA133	Gene1803	0.50541
sRNA3	Gene1571	0.47828
sRNA152	Gene1078	0.56516
sRNA109	Gene1111	0.49951
sRNA2	Gene1749	0.55018
sRNA120	Gene918	0.53198
sRNA214	Gene528	0.53645
sRNA38	Gene1504	0.56152
sRNA123	Gene293	0.53004
sRNA56	Gene947	0.47667
sRNA29	Gene1726	0.55537
sRNA109	Gene1121	0.45533
sRNA243	Gene504	0.55137
sRNA82	Gene1150	0.533
sRNA29	Gene2581	0.55678
sRNA9	Gene441	0.48729
sRNA62	Gene2339	0.45914
sRNA212	Gene560	0.53067
sRNA242	Gene1104	0.47275
sRNA200	Gene2466	0.48429
sRNA221	Gene471	0.56226
sRNA209	Gene1084	0.5039
sRNA226	Gene551	0.49704
sRNA9	Gene44	0.58726
sRNA177	Gene562	0.531
sRNA86	Gene575	0.59583
sRNA9	Gene1204	0.52515
sRNA2	Gene1840	0.48966
sRNA198	Gene2410	0.46781
sRNA50	Gene1479	0.53331
sRNA165	Gene216	0.45577
sRNA200	Gene1242	0.47301
sRNA10	Gene285	0.54055
sRNA50	Gene193	0.48759
sRNA167	Gene1022	0.54119
sRNA17	Gene1745	0.52082
sRNA9	Gene759	0.53602
sRNA68	Gene2780	0.50324
sRNA9	Gene514	0.48106
sRNA183	Gene2162	0.55285
sRNA131	Gene134	0.57081
sRNA9	Gene513	0.53004
sRNA204	Gene914	0.50351
sRNA9	Gene1367	0.54734
sRNA266	Gene2511	0.45894
sRNA46	Gene2017	0.55612
sRNA213	Gene1157	0.53583
sRNA200	Gene1489	0.45952
sRNA221	Gene594	0.49058
sRNA29	Gene1595	0.52669
sRNA93	Gene2536	0.49718
sRNA209	Gene971	0.56919
sRNA245	Gene2049	0.5284
sRNA46	Gene1626	0.58864
sRNA9	Gene1863	0.55831
sRNA17	Gene1753	0.51178
sRNA221	Gene1041	0.5364
sRNA249	Gene2080	0.459
sRNA243	Gene18	0.54193
sRNA9	Gene744	0.56783
sRNA274	Gene2855	0.48046
sRNA139	Gene950	0.51336
sRNA48	Gene922	0.56788
sRNA36	Gene1242	0.52935
sRNA13	Gene207	0.46329
sRNA160	Gene654	0.5193
sRNA9	Gene2181	0.51608
sRNA242	Gene1767	0.46801
sRNA40	Gene1885	0.49334
sRNA6	Gene2103	0.47801
sRNA9	Gene23	0.51318
sRNA3	Gene1723	0.49355
sRNA19	Gene973	0.576
sRNA9	Gene1801	0.47983
sRNA211	Gene767	0.48806
sRNA158	Gene1113	0.53327
sRNA32	Gene2250	0.5266
sRNA225	Gene840	0.50892
sRNA221	Gene1240	0.54795
sRNA223	Gene746	0.58784
sRNA9	Gene2534	0.52488
sRNA267	Gene1692	0.45876
sRNA9	Gene903	0.54766
sRNA236	Gene1830	0.5481
sRNA229	Gene163	0.54204
sRNA272	Gene432	0.50825
sRNA232	Gene2104	0.45652
sRNA29	Gene601	0.52662
sRNA69	Gene1683	0.47077
sRNA16	Gene1763	0.5314
sRNA161	Gene95	0.5054
sRNA9	Gene2745	0.53011
sRNA130	Gene1148	0.56508
sRNA17	Gene1796	0.51501
sRNA16	Gene2731	0.5045
sRNA9	Gene976	0.50704
sRNA101	Gene1436	0.53398
sRNA326	Gene2180	0.4785
sRNA140	Gene914	0.5775
sRNA9	Gene701	0.56228
sRNA19	Gene97	0.58195
sRNA9	Gene610	0.5122
sRNA61	Gene1670	0.50568
sRNA80	Gene1937	0.49409
sRNA267	Gene251	0.45866
sRNA9	Gene2119	0.55263
sRNA80	Gene970	0.53995
sRNA16	Gene1676	0.51042
sRNA90	Gene1136	0.51829
sRNA16	Gene748	0.54487
sRNA206	Gene442	0.52813
sRNA83	Gene795	0.54266
sRNA210	Gene2108	0.50163
sRNA150	Gene62	0.51342
sRNA3	Gene1351	0.47001
sRNA210	Gene743	0.50437
sRNA9	Gene1374	0.48904
sRNA267	Gene2365	0.45582
sRNA210	Gene324	0.4959
sRNA80	Gene926	0.52189
sRNA40	Gene2672	0.48318
sRNA96	Gene2061	0.51651
sRNA79	Gene2344	0.50856
sRNA234	Gene1990	0.57299
sRNA30	Gene1565	0.55848
sRNA77	Gene778	0.57975
sRNA272	Gene2265	0.51356
sRNA1	Gene1126	0.4813
sRNA41	Gene833	0.54457
sRNA38	Gene1879	0.49703
sRNA117	Gene1225	0.55255
sRNA50	Gene1901	0.54026
sRNA50	Gene156	0.50527
sRNA151	Gene191	0.57375
sRNA103	Gene895	0.55325
sRNA157	Gene685	0.54738
sRNA9	Gene1569	0.50807
sRNA28	Gene1292	0.47025
sRNA36	Gene486	0.54164
sRNA119	Gene456	0.53268
sRNA199	Gene1653	0.55457
sRNA9	Gene2164	0.49427
sRNA242	Gene321	0.49103
sRNA275	Gene2156	0.46994
sRNA209	Gene474	0.52407
sRNA221	Gene1700	0.5579
sRNA38	Gene13	0.58284
sRNA200	Gene1974	0.4954
sRNA174	Gene2526	0.49368
sRNA209	Gene326	0.53061
sRNA233	Gene1090	0.52367
sRNA6	Gene1489	0.49775
sRNA13	Gene906	0.46527
sRNA80	Gene1049	0.49572
sRNA227	Gene2088	0.51006
sRNA118	Gene2116	0.55852
sRNA187	Gene286	0.53887
sRNA50	Gene1113	0.53724
sRNA9	Gene166	0.4731
sRNA240	Gene153	0.55924
sRNA97	Gene410	0.55861
sRNA207	Gene2737	0.50668
sRNA152	Gene176	0.53794
sRNA19	Gene622	0.57412
sRNA218	Gene654	0.5583
sRNA89	Gene1348	0.52317
sRNA238	Gene1035	0.46685
sRNA180	Gene160	0.56336
sRNA190	Gene436	0.53051
sRNA213	Gene1111	0.51958
sRNA59	Gene1971	0.52941
sRNA17	Gene2558	0.50255
sRNA242	Gene360	0.50552
sRNA139	Gene2147	0.53043
sRNA32	Gene1327	0.47237
sRNA276	Gene2229	0.49289
sRNA18	Gene1803	0.51707
sRNA90	Gene2449	0.53882
sRNA38	Gene1696	0.53816
sRNA224	Gene601	0.56236
sRNA50	Gene360	0.56044
sRNA86	Gene442	0.62584
sRNA214	Gene1812	0.5291
sRNA50	Gene2035	0.52791
sRNA139	Gene1069	0.5247
sRNA9	Gene30	0.58025
sRNA36	Gene890	0.55009
sRNA2	Gene1160	0.55069
sRNA32	Gene82	0.45025
sRNA152	Gene2466	0.52195
sRNA113	Gene2585	0.48339
sRNA190	Gene702	0.54184
sRNA134	Gene895	0.52636
sRNA72	Gene2450	0.51875
sRNA50	Gene2167	0.53108
sRNA214	Gene1114	0.5413
sRNA159	Gene1180	0.54243
sRNA205	Gene2167	0.45366
sRNA126	Gene419	0.51704
sRNA13	Gene112	0.52145
sRNA106	Gene129	0.57116
sRNA164	Gene2695	0.50453
sRNA112	Gene1323	0.58749
sRNA198	Gene1140	0.4558
sRNA97	Gene1235	0.55037
sRNA50	Gene787	0.57336
sRNA6	Gene1763	0.5124
sRNA211	Gene327	0.49097
sRNA9	Gene2593	0.49356
sRNA204	Gene1903	0.49091
sRNA199	Gene436	0.53244
sRNA17	Gene1803	0.52779
sRNA208	Gene2280	0.50746
sRNA152	Gene1669	0.53301
sRNA204	Gene49	0.5209
sRNA31	Gene1832	0.51122
sRNA209	Gene528	0.56822
sRNA37	Gene173	0.59626
sRNA109	Gene881	0.5287
sRNA242	Gene419	0.47109
sRNA47	Gene678	0.56312
sRNA97	Gene413	0.44826
sRNA6	Gene1941	0.47224
sRNA220	Gene286	0.5405
sRNA232	Gene215	0.48379
sRNA128	Gene1003	0.57818
sRNA240	Gene1552	0.63484
sRNA150	Gene1845	0.52388
sRNA125	Gene1180	0.60547
sRNA8	Gene125	0.48914
sRNA32	Gene1820	0.50801
sRNA236	Gene458	0.55878
sRNA176	Gene349	0.5393
sRNA9	Gene355	0.48975
sRNA38	Gene1775	0.57744
sRNA9	Gene569	0.54935
sRNA214	Gene2779	0.46647
sRNA34	Gene373	0.45056
sRNA34	Gene1848	0.49055
sRNA2	Gene1488	0.53408
sRNA29	Gene1019	0.54681
sRNA118	Gene2042	0.53412
sRNA131	Gene952	0.51643
sRNA74	Gene2685	0.53509
sRNA80	Gene426	0.50499
sRNA125	Gene2562	0.5657
sRNA67	Gene1816	0.48534
sRNA69	Gene584	0.48262
sRNA98	Gene1424	0.49947
sRNA127	Gene636	0.55082
sRNA200	Gene1703	0.48707
sRNA31	Gene348	0.49683
sRNA211	Gene2579	0.53677
sRNA31	Gene1543	0.49068
sRNA9	Gene56	0.52234
sRNA103	Gene1931	0.5084
sRNA29	Gene2662	0.56103
sRNA40	Gene393	0.45445
sRNA101	Gene631	0.49944
sRNA24	Gene1999	0.47138
sRNA9	Gene2683	0.4577
sRNA143	Gene1071	0.53511
sRNA106	Gene392	0.50707
sRNA97	Gene1505	0.54609
sRNA50	Gene817	0.51121
sRNA19	Gene2850	0.53278
sRNA243	Gene186	0.57912
sRNA185	Gene1482	0.4801
sRNA278	Gene557	0.468
sRNA247	Gene1587	0.47687
sRNA172	Gene1114	0.50617
sRNA8	Gene1408	0.48438
sRNA190	Gene775	0.57289
sRNA234	Gene1630	0.55627
sRNA236	Gene271	0.46388
sRNA3	Gene1751	0.44566
sRNA31	Gene1432	0.4767
sRNA120	Gene870	0.5304
sRNA113	Gene488	0.51801
sRNA146	Gene1110	0.51222
sRNA37	Gene7	0.55151
sRNA104	Gene1666	0.45959
sRNA170	Gene182	0.50529
sRNA9	Gene1662	0.48471
sRNA124	Gene294	0.53838
sRNA9	Gene352	0.53604
sRNA152	Gene80	0.55995
sRNA16	Gene749	0.49946
sRNA220	Gene1084	0.55563
sRNA213	Gene2253	0.5728
sRNA235	Gene1125	0.5505
sRNA146	Gene612	0.52927
sRNA19	Gene1623	0.5223
sRNA139	Gene562	0.53048
sRNA135	Gene693	0.49581
sRNA152	Gene2651	0.48164
sRNA6	Gene2107	0.5459
sRNA242	Gene77	0.47388
sRNA207	Gene1644	0.54807
sRNA118	Gene1113	0.50958
sRNA100	Gene2513	0.56361
sRNA37	Gene2230	0.59897
sRNA233	Gene851	0.55976
sRNA70	Gene821	0.56934
sRNA145	Gene110	0.53149
sRNA50	Gene270	0.52893
sRNA9	Gene2251	0.5015
sRNA129	Gene326	0.54112
sRNA200	Gene2207	0.46687
sRNA79	Gene2707	0.51792
sRNA1	Gene2241	0.48116
sRNA3	Gene2232	0.48521
sRNA29	Gene404	0.52052
sRNA56	Gene192	0.48752
sRNA160	Gene384	0.53249
sRNA140	Gene1413	0.60003
sRNA125	Gene1806	0.56544
sRNA147	Gene2206	0.53451
sRNA220	Gene1190	0.56078
sRNA282	Gene2563	0.52748
sRNA221	Gene2526	0.52064
sRNA16	Gene452	0.49463
sRNA209	Gene1048	0.56847
sRNA191	Gene129	0.49991
sRNA17	Gene1555	0.52223
sRNA165	Gene538	0.5187
sRNA258	Gene503	0.48895
sRNA40	Gene1973	0.51142
sRNA150	Gene1537	0.55369
sRNA226	Gene1134	0.52007
sRNA133	Gene2266	0.47839
sRNA16	Gene1322	0.4746
sRNA32	Gene1665	0.47269
sRNA157	Gene1108	0.50566
sRNA12	Gene1995	0.5359
sRNA16	Gene2079	0.48877
sRNA120	Gene2115	0.52409
sRNA221	Gene1340	0.55793
sRNA234	Gene899	0.56001
sRNA50	Gene2151	0.54597
sRNA198	Gene33	0.5262
sRNA197	Gene2516	0.49714
sRNA207	Gene105	0.50602
sRNA201	Gene2605	0.50709
sRNA16	Gene1974	0.51254
sRNA249	Gene1559	0.4834
sRNA17	Gene1323	0.53039
sRNA128	Gene797	0.57021
sRNA9	Gene467	0.56529
sRNA64	Gene922	0.58504
sRNA177	Gene1093	0.54002
sRNA77	Gene1087	0.5136
sRNA223	Gene505	0.53033
sRNA9	Gene296	0.51259
sRNA29	Gene2550	0.47436
sRNA17	Gene2245	0.48596
sRNA63	Gene270	0.51838
sRNA166	Gene83	0.47229
sRNA98	Gene2027	0.53264
sRNA221	Gene46	0.52636
sRNA192	Gene2841	0.46833
sRNA200	Gene1722	0.47787
sRNA77	Gene2349	0.56668
sRNA16	Gene1267	0.47879
sRNA95	Gene265	0.57184
sRNA112	Gene1871	0.55356
sRNA79	Gene2122	0.48783
sRNA43	Gene1804	0.45188
sRNA56	Gene1700	0.4679
sRNA37	Gene2046	0.55043
sRNA183	Gene2490	0.48209
sRNA232	Gene2180	0.48622
sRNA96	Gene2854	0.50085
sRNA289	Gene268	0.54748
sRNA211	Gene921	0.48024
sRNA72	Gene136	0.52219
sRNA243	Gene698	0.52261
sRNA13	Gene908	0.44577
sRNA220	Gene177	0.50257
sRNA142	Gene479	0.49111
sRNA98	Gene1394	0.51841
sRNA232	Gene143	0.49398
sRNA59	Gene1597	0.55488
sRNA3	Gene1681	0.49289
sRNA124	Gene171	0.5309
sRNA90	Gene817	0.55132
sRNA145	Gene427	0.51961
sRNA31	Gene1912	0.47352
sRNA221	Gene520	0.53274
sRNA55	Gene2217	0.58817
sRNA28	Gene2190	0.463
sRNA16	Gene131	0.52582
sRNA245	Gene588	0.55354
sRNA143	Gene966	0.58191
sRNA128	Gene171	0.53951
sRNA3	Gene2569	0.49061
sRNA19	Gene118	0.56078
sRNA2	Gene404	0.54205
sRNA242	Gene725	0.4874
sRNA200	Gene2740	0.49369
sRNA211	Gene2703	0.4472
sRNA24	Gene1355	0.46299
sRNA240	Gene1751	0.58126
sRNA9	Gene394	0.55713
sRNA9	Gene137	0.56887
sRNA101	Gene1500	0.52097
sRNA200	Gene2361	0.48462
sRNA236	Gene561	0.5545
sRNA243	Gene248	0.55542
sRNA9	Gene2695	0.52432
sRNA305	Gene1401	0.54446
sRNA9	Gene294	0.60272
sRNA226	Gene499	0.46634
sRNA118	Gene704	0.52683
sRNA90	Gene2596	0.54259
sRNA48	Gene2381	0.56808
sRNA220	Gene851	0.57324
sRNA2	Gene256	0.60127
sRNA234	Gene2814	0.52401
sRNA229	Gene1160	0.52263
sRNA113	Gene57	0.52151
sRNA146	Gene2118	0.5647
sRNA251	Gene725	0.4894
sRNA170	Gene538	0.52001
sRNA120	Gene606	0.48698
sRNA78	Gene725	0.5725
sRNA31	Gene1887	0.47751
sRNA157	Gene906	0.49443
sRNA123	Gene234	0.49779
sRNA179	Gene167	0.52804
sRNA140	Gene1177	0.57458
sRNA143	Gene268	0.5412
sRNA128	Gene1516	0.51912
sRNA187	Gene2713	0.53394
sRNA134	Gene1121	0.54626
sRNA200	Gene1991	0.44782
sRNA138	Gene509	0.49647
sRNA166	Gene1351	0.48333
sRNA57	Gene1771	0.49475
sRNA214	Gene1240	0.5024
sRNA3	Gene1909	0.45246
sRNA210	Gene455	0.5601
sRNA46	Gene1803	0.54145
sRNA112	Gene2498	0.54014
sRNA38	Gene2272	0.5357
sRNA145	Gene238	0.52328
sRNA227	Gene2456	0.56235
sRNA229	Gene489	0.54877
sRNA209	Gene705	0.57004
sRNA9	Gene1101	0.572
sRNA6	Gene2494	0.48327
sRNA210	Gene971	0.52303
sRNA3	Gene1641	0.47888
sRNA207	Gene2115	0.52038
sRNA69	Gene1812	0.46314
sRNA33	Gene2772	0.49665
sRNA234	Gene1066	0.56076
sRNA279	Gene503	0.49254
sRNA77	Gene795	0.60968
sRNA77	Gene2348	0.57526
sRNA123	Gene685	0.49217
sRNA172	Gene813	0.54314
sRNA34	Gene2320	0.47473
sRNA72	Gene1081	0.55816
sRNA143	Gene1413	0.52511
sRNA187	Gene225	0.55084
sRNA9	Gene1161	0.5298
sRNA77	Gene817	0.56129
sRNA13	Gene2758	0.45989
sRNA56	Gene2411	0.45323
sRNA233	Gene1663	0.60765
sRNA145	Gene964	0.54699
sRNA74	Gene183	0.54166
sRNA70	Gene269	0.56829
sRNA190	Gene906	0.57283
sRNA221	Gene2503	0.57445
sRNA31	Gene2144	0.50814
sRNA50	Gene1175	0.53161
sRNA69	Gene1832	0.50549
sRNA11	Gene1887	0.51405
sRNA16	Gene1487	0.50637
sRNA38	Gene1417	0.55976
sRNA90	Gene1405	0.54714
sRNA237	Gene1406	0.50417
sRNA177	Gene1967	0.55326
sRNA209	Gene1005	0.59718
sRNA80	Gene1946	0.50273
sRNA38	Gene1528	0.51072
sRNA221	Gene523	0.51473
sRNA72	Gene326	0.51323
sRNA47	Gene1476	0.49234
sRNA242	Gene1824	0.47257
sRNA32	Gene1784	0.54393
sRNA235	Gene1806	0.55325
sRNA19	Gene729	0.57157
sRNA116	Gene741	0.55729
sRNA56	Gene823	0.4488
sRNA180	Gene173	0.53158
sRNA249	Gene2615	0.45291
sRNA31	Gene1052	0.48062
sRNA47	Gene2604	0.5013
sRNA265	Gene711	0.48165
sRNA32	Gene2666	0.4486
sRNA159	Gene1151	0.52511
sRNA197	Gene372	0.52735
sRNA154	Gene1410	0.55885
sRNA131	Gene393	0.54796
sRNA9	Gene2604	0.47143
sRNA59	Gene30	0.59433
sRNA224	Gene2201	0.56912
sRNA199	Gene726	0.53196
sRNA79	Gene1988	0.53624
sRNA96	Gene1505	0.47964
sRNA50	Gene728	0.5572
sRNA267	Gene187	0.48431
sRNA236	Gene317	0.58647
sRNA250	Gene448	0.47568
sRNA6	Gene2623	0.46149
sRNA53	Gene1571	0.53295
sRNA220	Gene524	0.55235
sRNA196	Gene551	0.45517
sRNA123	Gene517	0.47445
sRNA24	Gene858	0.48879
sRNA2	Gene2464	0.48589
sRNA113	Gene619	0.50839
sRNA165	Gene752	0.4873
sRNA133	Gene1192	0.52301
sRNA208	Gene2040	0.46671
sRNA69	Gene551	0.48079
sRNA1	Gene2103	0.49
sRNA170	Gene1016	0.52576
sRNA34	Gene2735	0.47923
sRNA176	Gene833	0.56973
sRNA29	Gene1485	0.52117
sRNA24	Gene881	0.47696
sRNA34	Gene1745	0.48339
sRNA24	Gene880	0.50876
sRNA9	Gene571	0.5218
sRNA165	Gene501	0.51555
sRNA189	Gene1707	0.50661
sRNA33	Gene2170	0.50899
sRNA40	Gene2167	0.51697
sRNA69	Gene1576	0.48538
sRNA9	Gene865	0.53929
sRNA90	Gene2030	0.50785
sRNA172	Gene1121	0.4911
sRNA79	Gene2342	0.52434
sRNA109	Gene239	0.5506
sRNA47	Gene1619	0.48986
sRNA198	Gene614	0.51479
sRNA9	Gene2814	0.46084
sRNA143	Gene1415	0.57081
sRNA33	Gene927	0.49252
sRNA29	Gene364	0.46397
sRNA247	Gene1722	0.4741
sRNA73	Gene2815	0.51171
sRNA142	Gene1623	0.53997
sRNA206	Gene2503	0.53012
sRNA40	Gene1432	0.52491
sRNA9	Gene2071	0.58295
sRNA224	Gene2468	0.59186
sRNA150	Gene175	0.55981
sRNA223	Gene1177	0.54941
sRNA190	Gene772	0.56647
sRNA118	Gene1969	0.50267
sRNA11	Gene319	0.50799
sRNA245	Gene2289	0.54704
sRNA20	Gene298	0.54823
sRNA29	Gene993	0.55309
sRNA180	Gene2645	0.51725
sRNA111	Gene604	0.5758
sRNA36	Gene1675	0.53824
sRNA9	Gene1693	0.55963
sRNA111	Gene652	0.53654
sRNA177	Gene1097	0.50567
sRNA59	Gene1601	0.49236
sRNA7	Gene1469	0.59204
sRNA157	Gene763	0.54867
sRNA6	Gene647	0.57082
sRNA59	Gene562	0.61946
sRNA9	Gene152	0.47254
sRNA9	Gene2489	0.46714
sRNA213	Gene702	0.5121
sRNA235	Gene501	0.48634
sRNA199	Gene2639	0.53343
sRNA116	Gene1799	0.4932
sRNA31	Gene802	0.4741
sRNA33	Gene2135	0.4782
sRNA127	Gene2153	0.55375
sRNA32	Gene2080	0.4741
sRNA133	Gene1348	0.51399
sRNA46	Gene2121	0.54561
sRNA226	Gene1801	0.56423
sRNA93	Gene832	0.57143
sRNA139	Gene303	0.53269
sRNA200	Gene1762	0.48097
sRNA184	Gene160	0.49279
sRNA146	Gene20	0.57778
sRNA245	Gene1928	0.52614
sRNA213	Gene57	0.51102
sRNA221	Gene731	0.5492
sRNA226	Gene1560	0.53685
sRNA146	Gene487	0.54254
sRNA9	Gene1845	0.52266
sRNA295	Gene1936	0.45943
sRNA47	Gene2695	0.50149
sRNA221	Gene661	0.50844
sRNA69	Gene2855	0.49677
sRNA9	Gene1530	0.46129
sRNA9	Gene1576	0.51694
sRNA79	Gene2136	0.52419
sRNA9	Gene563	0.59066
sRNA19	Gene1175	0.57375
sRNA2	Gene433	0.52452
sRNA173	Gene282	0.44915
sRNA128	Gene133	0.50513
sRNA207	Gene2748	0.51496
sRNA9	Gene2401	0.51581
sRNA269	Gene1180	0.49542
sRNA213	Gene970	0.5473
sRNA9	Gene1806	0.54382
sRNA97	Gene1343	0.513
sRNA72	Gene723	0.51329
sRNA17	Gene1822	0.49863
sRNA146	Gene517	0.51863
sRNA145	Gene2587	0.52994
sRNA221	Gene797	0.49983
sRNA240	Gene1237	0.56729
sRNA113	Gene1980	0.54994
sRNA6	Gene1572	0.47006
sRNA38	Gene254	0.57547
sRNA80	Gene2114	0.54277
sRNA31	Gene624	0.46536
sRNA74	Gene1441	0.49855
sRNA227	Gene2639	0.58855
sRNA9	Gene245	0.47763
sRNA245	Gene1471	0.54511
sRNA198	Gene149	0.53181
sRNA13	Gene590	0.44682
sRNA235	Gene1003	0.50791
sRNA142	Gene265	0.54415
sRNA259	Gene508	0.47964
sRNA157	Gene1353	0.56316
sRNA153	Gene269	0.54689
sRNA90	Gene630	0.58287
sRNA242	Gene1160	0.47646
sRNA60	Gene2689	0.50598
sRNA9	Gene2502	0.53973
sRNA53	Gene2575	0.51011
sRNA221	Gene33	0.50442
sRNA30	Gene1876	0.53787
sRNA72	Gene2095	0.53853
sRNA237	Gene2508	0.56584
sRNA177	Gene905	0.54574
sRNA287	Gene251	0.47648
sRNA221	Gene2469	0.51387
sRNA6	Gene736	0.55191
sRNA157	Gene890	0.53318
sRNA19	Gene2672	0.55686
sRNA133	Gene1067	0.52529
sRNA116	Gene529	0.54599
sRNA70	Gene1354	0.52276
sRNA213	Gene2369	0.55012
sRNA72	Gene1475	0.53039
sRNA1	Gene1703	0.5256
sRNA11	Gene338	0.48805
sRNA62	Gene2196	0.50733
sRNA242	Gene1720	0.45098
sRNA42	Gene564	0.56271
sRNA240	Gene1773	0.56994
sRNA101	Gene1501	0.54412
sRNA295	Gene2687	0.46005
sRNA32	Gene2675	0.53113
sRNA19	Gene1807	0.53545
sRNA220	Gene890	0.50463
sRNA190	Gene186	0.54663
sRNA185	Gene1533	0.50812
sRNA61	Gene1635	0.53035
sRNA72	Gene1373	0.47568
sRNA32	Gene2334	0.54808
sRNA19	Gene915	0.55249
sRNA150	Gene2491	0.50492
sRNA187	Gene787	0.56395
sRNA163	Gene2131	0.55092
sRNA50	Gene257	0.51372
sRNA35	Gene1648	0.54778
sRNA221	Gene124	0.56103
sRNA10	Gene1819	0.56498
sRNA224	Gene2772	0.58913
sRNA9	Gene2028	0.50848
sRNA92	Gene439	0.53392
sRNA151	Gene2744	0.56493
sRNA9	Gene488	0.54148
sRNA9	Gene212	0.57757
sRNA220	Gene22	0.5346
sRNA2	Gene2003	0.49814
sRNA2	Gene2002	0.49708
sRNA242	Gene1772	0.5062
sRNA275	Gene1387	0.47826
sRNA140	Gene2851	0.51734
